question,answer_key,bleu_score,rouge1,rouge2,rougeL
What are the main causes of climate change?,A0,0.2488386860654058,0.5859872611464968,0.32258064516129026,0.5095541401273884
What are the main causes of climate change?,A1,0.2173823977733656,0.5605095541401275,0.2967741935483871,0.48407643312101906
What are the main causes of climate change?,A2,0.18692176684415204,0.5222929936305732,0.24516129032258066,0.445859872611465
What are the main causes of climate change?,A3,0.08976226610449739,0.47435897435897434,0.15584415584415584,0.38461538461538464
What are the main causes of climate change?,A4,0.08349600232714005,0.4516129032258065,0.1437908496732026,0.37419354838709673
How does photosynthesis work in plants?,A0,0.25744986905175693,0.6442953020134228,0.380952380952381,0.5100671140939597
How does photosynthesis work in plants?,A1,0.25744986905175693,0.6442953020134228,0.380952380952381,0.5100671140939597
How does photosynthesis work in plants?,A2,0.25744986905175693,0.6442953020134228,0.380952380952381,0.5100671140939597
How does photosynthesis work in plants?,A3,0.25744986905175693,0.6442953020134228,0.380952380952381,0.5100671140939597
How does photosynthesis work in plants?,A4,0.25744986905175693,0.6442953020134228,0.380952380952381,0.5100671140939597
What are the main functions of the human skeleton?,A0,0.1794071684173692,0.5671641791044776,0.2727272727272727,0.47761194029850745
What are the main functions of the human skeleton?,A1,0.1794071684173692,0.5671641791044776,0.2727272727272727,0.47761194029850745
What are the main functions of the human skeleton?,A2,0.1794071684173692,0.5671641791044776,0.2727272727272727,0.47761194029850745
What are the main functions of the human skeleton?,A3,0.1794071684173692,0.5671641791044776,0.2727272727272727,0.47761194029850745
What are the main functions of the human skeleton?,A4,0.1794071684173692,0.5671641791044776,0.2727272727272727,0.47761194029850745
What are the differences between renewable and non-renewable energy sources?,A0,0.36734368589654404,0.7153284671532848,0.41481481481481486,0.5985401459854014
What are the differences between renewable and non-renewable energy sources?,A1,0.31670182559218335,0.6861313868613138,0.37037037037037035,0.5693430656934306
What are the differences between renewable and non-renewable energy sources?,A2,0.27822188986073787,0.6569343065693432,0.3259259259259259,0.5401459854014599
What are the differences between renewable and non-renewable energy sources?,A3,0.24802954756175524,0.6323529411764706,0.3134328358208955,0.5147058823529411
What are the differences between renewable and non-renewable energy sources?,A4,0.18438235227711436,0.5925925925925927,0.27067669172932324,0.4740740740740741
What are the main stages of the water cycle?,A0,0.24972740295651671,0.631578947368421,0.26595744680851063,0.5157894736842105
What are the main stages of the water cycle?,A1,0.24972740295651671,0.631578947368421,0.26595744680851063,0.5157894736842105
What are the main stages of the water cycle?,A2,0.24972740295651671,0.631578947368421,0.26595744680851063,0.5157894736842105
What are the main stages of the water cycle?,A3,0.24972740295651671,0.631578947368421,0.26595744680851063,0.5157894736842105
What are the main stages of the water cycle?,A4,0.24972740295651671,0.631578947368421,0.26595744680851063,0.5157894736842105
What are the three states of matter?,A0,0.1895530307074404,0.5581395348837209,0.21176470588235294,0.4883720930232558
